Bus Stop Number,Latitude Position,Longitude Position,Bus Stop Name
11161,1.302133056,103.7983908,C'wealth Stn
11169,1.302705,103.7983817,C'wealth Stn
11171,1.305356667,103.7947972,Opp Blk 7B
11179,1.306275214,103.7942794,Blk 8
11181,1.307223333,103.7922764,Opp Blk 43
11189,1.307401389,103.7925422,Blk 43
11191,1.308016408,103.7883732,Buona Vista Stn
11199,1.308379707,103.7884315,Blk 15
11201,1.306926429,103.8118645,CSC Dempsey Clubhse
11209,1.308172808,103.8104121,Opp Peirce Rd
11211,1.308387799,103.8093952,Aft Peirce Rd
11219,1.309880302,103.8072426,Great Eastern Mans
11221,1.310022253,103.8054441,Lien Twrs
11229,1.310600659,103.8052254,Les Jardins De Holland
11231,1.311153163,103.8011992,Aft Estoril Mans
11239,1.311528574,103.8016552,Fairlodge
11259,1.311198879,103.79274,Opp Blk 21
11261,1.312231684,103.7944462,Holland Village
11269,1.312561126,103.794538,Opp Holland Village
11271,1.314734444,103.7900842,Aft East Sussex Lane
11279,1.314668789,103.7906926,Aft Coronation Rd West
11281,1.316226944,103.7885219,Aft Tan Boon Chong Ave
11289,1.316188914,103.7890434,Opp Tan Boon Chong Ave
11291,1.317927778,103.7859233,Cold Storage Jelita
11299,1.318269756,103.7855884,Opp Cold Storage Jelita
11301,1.318039721,103.7879007,Hse No. 578
11309,1.318624439,103.7884299,Hse No. 589
11311,1.319896389,103.7891869,Hse No. 532
11319,1.32030638,103.7895997,Opp Hse No. 516
11321,1.321231389,103.7901036,Opp Regent Villa
11329,1.322361397,103.7909809,Regent Villa
11331,1.323209188,103.7914467,Opp Dynasty Gdn II
11339,1.323986389,103.7920472,Dynasty Lodge
11341,1.325515062,103.7928279,Garlick Ville
11349,1.325666111,103.7930739,Opp Garlick Ville
11351,1.309345712,103.7894511,Blk 13
11359,1.309310226,103.7896861,Blk 12
11361,1.306496986,103.7905812,Buona Vista Stn
11369,1.306325964,103.7908483,Opp Buona Vista Stn
11379,1.309170025,103.7923632,Buona Vista Ter
11381,1.308411379,103.7932829,Blk 10A
11389,1.30906501,103.7929322,Blk 46
11401,1.309067222,103.7950744,Blk 12
11409,1.307644167,103.7943258,Blk 9
11419,1.311029814,103.796044,Holland Village Stn
11429,1.30454,103.7983633,Opp Blk 115B
11439,1.306064722,103.8002978,Blk 92
11441,1.297804167,103.7975406,Blk 58
11449,1.298405278,103.7976033,Blk 37B
11451,1.300349722,103.7970728,Blk 72
11459,1.300970556,103.7968519,Blk 50
11469,1.301135034,103.8018858,Queensway Sec Sch
11471,1.299518926,103.8031516,Opp The Fisherman Ch
11479,1.299380751,103.8037199,The Fisherman Ch
11481,1.298115189,103.8060054,Queenstown Lib
11489,1.298453515,103.8049972,Opp Queenstown Lib
11491,1.297102028,103.8076365,Opp Queenstown Pr Sch
11499,1.296850536,103.8078866,Queenstown Pr Sch
11511,1.285946874,103.8025188,Alexandra Hosp
11519,1.286657422,103.8033413,Opp Queensway Shop Ctr
11521,1.28857101,103.80543,Anchorpoint
11529,1.289031206,103.8060909,Bef IKEA Ind Bldg
11531,1.291088333,103.8075308,Opp Lea Hin Hardware Fty
11539,1.291170495,103.8078618,Lea Hin Hardware Fty
11541,1.29235984,103.805785,Opp Queens
11551,1.291267031,103.804096,Tiong Ghee Tp
11561,1.29107396,103.8024759,Blk 166
11579,1.292564891,103.8030332,Blk 158
11589,1.292991881,103.8040052,Blk 157
11599,1.294208056,103.8031489,Blk 153
11609,1.291889722,103.8021219,Blk 163
12021,1.319076389,103.7824306,Bef Moonbeam Walk
12029,1.319583694,103.7824392,Opp Moonbeam Walk
12031,1.320800851,103.7796286,Pandan Valley Condo
12039,1.321045262,103.78019,Opp Pandan Valley Condo
12041,1.320491727,103.7765344,Aft Pandan Valley
12049,1.32091132,103.7765589,Opp Pandan Valley
12051,1.320428951,103.7750613,Pine Gr Condo
12059,1.320727311,103.775159,Opp Pine Gr Condo
12061,1.321785002,103.7708734,Blk 109
12069,1.321304981,103.7710029,Opp Blk 109A
12071,1.3240225,103.7721939,Blk 116
12079,1.323831876,103.7726309,Opp Blk 116
12081,1.326724152,103.7756168,Maju Camp
12089,1.326528056,103.7757483,Opp Maju Camp
12091,1.329183155,103.7771471,SIM HQ
12099,1.328040276,103.7767108,Opp SIM HQ
12101,1.332438964,103.7776851,Ngee Ann Poly
12109,1.33111288,103.7779859,Opp Ngee Ann Poly
12111,1.319117911,103.7722298,Bef Clementi Rd
12119,1.31943421,103.7722335,Police KINS Trg Camp
12121,1.311648333,103.7871517,Blk 7
12129,1.311821111,103.7873261,Blk 3
12131,1.314159444,103.7850617,Aft Grove Rd
12139,1.314531859,103.7850416,Aft Mt Sinai Lane
12141,1.315743898,103.7823915,Opp Henry Pk Apts
12149,1.315769005,103.782661,Henry Pk Apts
12151,1.318650645,103.7812757,Evian Condo
12169,1.319165492,103.7772417,Pandan Valley
12179,1.316795047,103.7769949,Montview
12189,1.316426937,103.780224,Bef Mt Sinai Dr
12199,1.315479989,103.7782062,Opp Village Twr
12201,1.32657145,103.7639802,Logishub @ Clementi
12209,1.326401157,103.7643146,Opp Logishub @ Clementi
12211,1.317213361,103.7807071,Bet Hse Nos.33/35
13011,1.306348492,103.8198382,Opp S'pore Botanic Gdns
13019,1.306774903,103.819944,S'pore Botanic Gdns
13021,1.30633973,103.8143067,Aft Min Of Foreign Affairs
13029,1.306717833,103.8145186,Bef Tyersall Ave
13031,1.299129722,103.8170739,Opp Chatsworth Rd
13039,1.299815727,103.8174427,Bef Chatsworth Rd
13041,1.302428343,103.8196763,Aft Rochalie Dr
13049,1.302616713,103.8204507,Bef Rochalie Dr
13051,1.293343059,103.8263656,Opp Valley Pt Condo
13059,1.293282736,103.8266349,Valley Pt Condo
13062,1.294849549,103.8285255,Mutiara View
13063,1.295448293,103.8295417,Mutiara Crest
13069,1.29488,103.8288081,Valley Pk Condo
13071,1.296361993,103.8322513,Opp ERC Inst
13079,1.296169722,103.8325586,Aft ERC Inst
13081,1.295911389,103.8362428,Airview Twr
13089,1.295751111,103.8360411,The Morningside
13091,1.295931389,103.8393781,Aft AA Ctr
13099,1.295780242,103.8396127,Bef AA Ctr
13101,1.294141627,103.8423121,Opp Mohd Sultan Rd
13109,1.293509444,103.8427242,UE Sq
13119,1.293626774,103.8328385,Opp Great World City
13121,1.294092217,103.8308378,Opp Great World City
13139,1.295042619,103.8320553,The Trillium
13141,1.297455989,103.8299632,Aft Zion Full Gospel Ch
13159,1.297960115,103.8305318,Bef Zion Full Gospel Ch
13169,1.299103052,103.8283929,Grange 80 Condo
13171,1.299068091,103.826507,Lucky Twr
13179,1.2992575,103.8266525,Opp Lucky Twr
13181,1.300232237,103.8240347,Aft One Tree Hill
13189,1.300381667,103.8241475,Bef One Tree Hill
13191,1.302660531,103.829878,Paterson Lodge
13199,1.302299269,103.8299923,Opp Paterson Lodge
13201,1.304536223,103.8220956,British High Comm
13209,1.304031071,103.8220561,Opp British High Comm
13211,1.292416994,103.841096,Aft Unity St
14009,1.267035026,103.8190147,HarbourFront Int
14011,1.267954444,103.8255261,Bef Mt Faber Lodge
14019,1.268488925,103.8257172,Opp Mt Faber Lodge
14021,1.271329722,103.8247836,Radin Mas Mque
14029,1.272473333,103.8241878,Blk 105
14031,1.276242778,103.8230603,St. Theresa's Convent
14039,1.276636379,103.8234583,Opp St. Theresa's Convent
14041,1.273272781,103.8124708,Blk 54
14049,1.273241668,103.8130423,Opp Blk 55
14051,1.275815,103.8150756,Aft Telok Blangah Hts
14059,1.275374851,103.8151437,Bef Telok Blangah Hts
14061,1.272309129,103.8386168,Opp Former Railway Stn
14069,1.272613333,103.8369486,Former Railway Stn
14071,1.272246254,103.8338419,Keppel Workshop
14081,1.270677606,103.8306137,Tg Pagar DP Blk F5
14089,1.270442204,103.8297821,Opp Tg Pagar DP Blk F5
14101,1.268375,103.8282581,Opp Keppel DP Blk 517
14109,1.268046016,103.8272249,Keppel DP Blk 517
14119,1.26596287,103.82224,Opp VivoCity
14121,1.265834978,103.8193244,HarbourFront Stn
14129,1.266078691,103.8197788,HarbourFront Stn
14131,1.267390595,103.8167223,Caribbean at Keppel Bay
14139,1.268635277,103.8154695,Bef Seah Im Rd
14141,1.265513507,103.8221097,VivoCity
14151,1.269647659,103.8129359,Opp Chr CC Chapel
14159,1.269940464,103.8131542,Bef Chr CC Chapel
14161,1.270758665,103.8100991,Telok Blangah Stn
14169,1.271185504,103.8094181,Opp Telok Blangah Stn
14171,1.271459598,103.8065486,Opp Yeo's Bldg
14179,1.271934514,103.8062857,Yeo's Bldg
14189,1.272739433,103.8039836,Aft Alexandra Rd
14191,1.281218333,103.8121144,Blk 104B
14199,1.281316767,103.8127506,Blk 118
14201,1.281673073,103.8091468,Blk 109B
14209,1.281763977,103.8095887,Aft Hewlett Packard
14211,1.281611684,103.8052188,ISS Intl Sch
14219,1.282186479,103.8068496,Opp Blk 114
14221,1.273593322,103.8289337,Opp St. Teresa's Ch
14229,1.273706702,103.8285789,St. Teresa's Ch
14231,1.27101,103.8266722,Keppel DP Blk 519
14239,1.271781382,103.8271424,Opp Keppel DP Blk 519
14241,1.279143531,103.8168725,Opp Blk 1
14249,1.279474057,103.8173299,Blk 1
14259,1.277845011,103.8186582,Blk 11
14269,1.277584806,103.8199945,Blk 10
14271,1.275681943,103.8191485,Al-Amin Mque
14279,1.275915523,103.8192089,Blk 25
14281,1.276996716,103.8180438,Opp Blk 11
14291,1.274684408,103.8213265,Blk 27
14299,1.274888204,103.8212713,Opp Blk 27
14309,1.271289,103.8230259,Blk 41
14319,1.273406852,103.8207183,Blk 28
14329,1.274349615,103.8094537,Blk 67
14331,1.276946111,103.8110681,Aft Telok Blangah St 32
14339,1.276660655,103.811245,Bef Telok Blangah St 32
14341,1.275933889,103.8134739,Opp Blk 59
14349,1.275790298,103.8133981,Blk 59
14351,1.27275,103.8103611,Blk 48
14359,1.272890556,103.8103503,Blk 50
14369,1.281536358,103.8036593,The Interlace
14379,1.272438333,103.8237936,Blk 40
14381,1.274130142,103.8255429,Blk 109
14389,1.274281605,103.825009,Opp Blk 109
14391,1.27791,103.8085861,Opp Blk 85
14399,1.27763662,103.8085855,Blk 85
14401,1.27210663,103.8021387,Opp The Furniture Warehse
14409,1.271574923,103.8017097,Opp Blk 3B
14419,1.267303384,103.8010177,CP A
14429,1.263798333,103.8041983,CP B
14471,1.282011691,103.8066498,Blk 114
14489,1.272185207,103.8217011,Blk 36 Mkt/FC
14491,1.272788056,103.8079489,Opp Telok Blangah Mkt/FC
14499,1.272913056,103.8078211,Telok Blangah Mkt/FC
14519,1.253521934,103.8257032,Resorts World Sentosa
15041,1.274524655,103.8018386,NOL Bldg
15049,1.274590541,103.8021634,Opp NOL Bldg
15051,1.277183889,103.802485,Alexandra Pt
15059,1.276861944,103.8027011,Opp Alexandra Pt
15071,1.281424722,103.7870142,Buona Vista Gdns
15079,1.28072421,103.7868111,Aft Lor Sarhad
15091,1.28290732,103.7878111,Opp Natl Leadership Inst
15099,1.283056201,103.7878935,Natl Leadership Inst
15101,1.286176111,103.7856208,Opp LP 31
15109,1.285919709,103.7858107,LP 30
15111,1.286762778,103.7848417,LP 37
15119,1.287038027,103.7850111,LP 36
15121,1.288941421,103.7837304,LP 49
15129,1.289164678,103.7840187,Opp LP 48
15131,1.292543437,103.784489,Kent Ridge Stn
15139,1.29241,103.784585,Opp Kent Ridge Stn
15141,1.272758605,103.8009595,Opp PSA Bldg
15149,1.273418719,103.8005555,PSA Bldg
15151,1.273891929,103.7982221,Bayanihan Ctr
15159,1.274263038,103.7983935,Mapletree Business City
15161,1.274438062,103.7966606,Pasir Panjang Ctr
15169,1.274814993,103.7967399,Harbourside Ind Bldg 2
15181,1.291084964,103.7854136,PSB S'pore
15189,1.290797795,103.7855026,DNV Technology Ctr
15191,1.27581227,103.7926357,Pasir Panjang Stn
15199,1.276042409,103.793184,Opp Currency Hse
15201,1.276808191,103.7897086,Aft PSA Wharves G3
15209,1.277065619,103.7902343,Opp PSA Wharves G3
15211,1.277924421,103.7864281,Opp Pasir View Pk
15219,1.278181141,103.7870103,Pasir View Pk
15221,1.279418333,103.7855383,Redwood West
15229,1.27937639,103.7857273,Opp Redwood West
16009,1.294253411,103.7698832,Kent Ridge Ter
16011,1.282777664,103.7818693,Opp Haw Par Villa Stn
16019,1.282780786,103.7821761,Haw Par Villa Stn
16021,1.286257931,103.7798103,Opp Gloria Man
16029,1.286084722,103.7802214,Gloria Man
16031,1.28800629,103.7784648,Opp S'pore Science Pk II
16039,1.287990202,103.7787203,S'pore Science Pk II
16041,1.289153986,103.7768984,Opp The Longhouse
16049,1.289137897,103.7773865,Westvale
16051,1.289851183,103.7749028,The Crystal Tabernacle Ch
16059,1.289851183,103.775391,Jamiyah Halfway Hse
16061,1.290462572,103.7735617,Opp Heng Mui Keng Terr
16069,1.290829722,103.7731167,Heng Mui Keng Terr
16071,1.291283693,103.7710944,Opp Pasir Panjang PO
16079,1.291511667,103.7706872,Bef Pasir Panjang PO
16081,1.291957778,103.7686614,Aft Palm Green Condo
16089,1.292011383,103.7690842,Aft Clementi Rd
16091,1.299396667,103.7792311,Opp ITE Dover
16099,1.3006125,103.7781514,ITE Dover
16101,1.289238319,103.7796924,Inst Of Micro-Electronics
16109,1.289111693,103.7795084,The Alpha
16111,1.28700982,103.7828311,Aries
16119,1.286976507,103.7826055,Teletech Pk
16121,1.2865113,103.7834514,Galen
16131,1.294876391,103.769352,Opp Kent Ridge Ter
16139,1.295379444,103.7697486,Bef Kent Ridge Ter
16141,1.297868335,103.7695952,Tentera Diraja Mque
16149,1.297818334,103.7699403,NUS Fac Of Architecture
16151,1.300761389,103.7699356,The Japanese Pr Sch
16159,1.300603334,103.7701703,NUS Fac Of Engrg
16161,1.301075,103.7736942,Museum
16169,1.300983333,103.7727042,NUS Raffles Hall
16171,1.298901502,103.7743823,Yusof Ishak Hse
16179,1.298981642,103.7741773,Opp Yusof Ishak Hse
16181,1.296565724,103.7725425,Ctrl Lib
16189,1.297361,103.772848,Computer Ctr
16191,1.296143074,103.7703702,Opp NUS Fac Of Architect
16199,1.296393036,103.7707292,NUS Fac Of Design & Env
16201,1.281281001,103.7841189,Barossa Gdns
16209,1.281587953,103.7840107,Opp Barossa Gdns
16211,1.279418611,103.7835758,Wharves Bldg
16219,1.280158333,103.7836236,Opp Wharves Bldg
16221,1.282975855,103.7811842,Opp Haw Par Villa Stn
16229,1.283009073,103.7815996,Haw Par Villa Stn
16231,1.286359473,103.7785293,Wholesale Ctr
16239,1.286435278,103.7789344,Opp Wholesale Ctr
16241,1.289103056,103.7735261,Bef West Coast Pk
16249,1.289282771,103.7740068,Bef Wholesale Ctr
16891,1.309821867,103.7681614,Opp Blk 420A
16991,1.307761452,103.7698739,Opp Nan Hua High Sch
17009,1.314915729,103.7641223,Clementi Int
17011,1.293858301,103.7668795,Opp Varsity Pk
17019,1.293797479,103.7670518,Varsity Pk
17021,1.296201037,103.7668455,Waseda S Snr High Sch
17029,1.296945701,103.767103,Opp Waseda S Snr High Sch
17031,1.301723058,103.7656763,Kent Ridge Sec Sch
17039,1.301531646,103.7660643,Opp Kent Ridge Sec Sch
17041,1.30415305,103.7645524,Blk 726 Clementi West Mkt
17049,1.304706382,103.7645982,Blk 601
17051,1.3172641,103.7624015,Blk 436
17059,1.316943333,103.7617011,Regent Pk
17061,1.307758348,103.7618051,Blk 701
17069,1.307766372,103.7621407,Opp Blk 701
17071,1.308917819,103.7604443,Blk 513
17079,1.309683042,103.7599936,Blk 512
17081,1.299503056,103.7645789,Aft West Coast Highway
17091,1.309031395,103.771535,Aft Clementi Ave 1
17099,1.307981658,103.771705,Aft Dover Rd
17101,1.314874732,103.771792,Blk 352
17109,1.315229709,103.7720879,Opp Blk 352
17111,1.317798098,103.7712464,Blk 343
17119,1.317641389,103.7716864,Opp Blk 343
17121,1.304724841,103.7694311,Blk 610
17129,1.305141367,103.7698584,Aft NUS High Sch
17131,1.308041389,103.7659111,Clementi Flyover
17139,1.309033047,103.76587,Aft Clementi Swim Cplx
17141,1.310995,103.7635,Clementi Stadium
17149,1.311636629,103.7634689,Blk 426
17151,1.311695194,103.7696099,Blk 410
17159,1.311998594,103.7697037,Blk 365
17161,1.312409936,103.7668548,Opp Blk 329
17169,1.312845278,103.7667967,Blk 329
17171,1.314973993,103.765027,Clementi Stn
17179,1.315281916,103.76536,Clementi Stn
17181,1.317358889,103.7639836,Opp Blk 317
17189,1.317905022,103.7640641,Blk 317
17191,1.30560806,103.769883,NUS High Sch
17201,1.320599444,103.7674511,Blk 308
17211,1.318288061,103.7658972,Bet Blks 315/318
17219,1.3182,103.7661586,Blk 376
17221,1.317320621,103.7677789,Blk 377
17229,1.317248333,103.7683278,Blk 335
17239,1.312335278,103.7657942,NTUC Fairprice
17241,1.315173302,103.7690515,Blk 334
17249,1.315056415,103.7693125,Blk 355
17251,1.310981389,103.7672769,Opp Blk 408
17259,1.310925008,103.767431,Blk 408
17269,1.304996433,103.7626954,Blk 730
17279,1.302896389,103.763225,Blk 723
17289,1.302296389,103.7648111,West Coast CC
17291,1.290351405,103.7696983,West Coast Pk
17299,1.290605556,103.7700506,Opp West Coast Pk
17301,1.294953611,103.7651669,LP 111
17309,1.295370833,103.7652456,LP 112
17311,1.301016986,103.7622944,Emerson Process
17319,1.301839156,103.7622997,Blk 716
17321,1.304834167,103.7603536,Tien Wah Press Bldg
17329,1.305050556,103.7605839,Blk 705
17331,1.307588333,103.7583311,Opp Blk 518
17339,1.307857222,103.7585047,Blk 518
17351,1.29358,103.7657644,Aft Clementi Rd
17359,1.293337222,103.7662175,Bef Clementi Rd
17361,1.2985975,103.7634625,Opp West Coast Link
17369,1.298405833,103.7638686,Aft West Coast Link
17371,1.32046,103.7635183,Blk 201
17379,1.320484943,103.7639419,Blk 304
17381,1.299076389,103.7668644,West Bay Resort Condo
17389,1.299081389,103.7670019,Opp West Bay Resort Condo
18011,1.281484798,103.8017678,SP Jain
18019,1.280910556,103.8025231,Opp SP Jain
18021,1.296452977,103.7889243,Opp GEMPLUS
18029,1.296098115,103.7891805,Tempco Mfg
18041,1.288360253,103.793174,Normanton Pk
18049,1.290174339,103.7920916,Opp Normanton Pk
18051,1.29863776,103.7873442,one-north Stn
18059,1.298491389,103.7872067,Opp one-north Stn
18061,1.296715889,103.7873805,Blk 71
18069,1.296490641,103.7875521,Opp Blk 71
18071,1.295408098,103.784475,NUH
18079,1.296481774,103.7845539,Opp NUH
18081,1.294785193,103.7873375,Blk 55
18089,1.294806759,103.7875736,S'pore Post
18099,1.293931694,103.7895362,Ayer Rajah Bus Pk
18101,1.292824731,103.7863618,PSB Science Pk Bldg
18109,1.294034366,103.786726,Opp PSB Science Pk Bldg
18111,1.300593056,103.7844842,Fairfield Meth Pr Sch
18119,1.300046389,103.7846675,Opp Fairfield Meth Pr Sch
18121,1.29751168,103.7854209,Opp Ayer Rajah Ind Est
18129,1.297762254,103.7857077,Ayer Rajah Ind Est
18131,1.289465043,103.7917686,Science Pk
18141,1.304182797,103.7878809,Aft Anglo-Chinese JC
18149,1.302530011,103.7872414,Opp Anglo-Chinese JC
18151,1.300510831,103.7886429,Opp one-north Stn
18159,1.300346899,103.7885837,one-north Stn
18171,1.299054786,103.7941291,Bef Weyhill Cl
18179,1.299881075,103.7930455,Opp Weyhill Cl
18181,1.297145853,103.7936936,Opp Tanglin Trust Sch
18189,1.29839663,103.7939032,Tanglin Trust Sch
18191,1.294456111,103.7959439,Bef Whitchurch Rd
18199,1.295215,103.7939239,Aft Whitchurch Rd
18209,1.294705278,103.7953564,Bef All Saints Chapel
18211,1.292092098,103.7954561,Bef Jln Hang Jebat
18221,1.296303057,103.7834132,NUH
18239,1.296789434,103.7831878,Opp NUH
18241,1.290923045,103.7870786,PSB Science Pk Annex
18249,1.290724,103.787127,Aft The Pasteur
18251,1.290681389,103.7884536,Opp Reuters
18261,1.290159968,103.7893381,Opp DSO Natl Laboratories
18269,1.290103333,103.7891869,Bef Reuters
18271,1.288407,103.7899278,Blk 85
18279,1.288406368,103.7897662,Opp Blk 85
18281,1.287525569,103.7912122,The Rutherford
18289,1.287381057,103.791206,Opp The Rutherford
18301,1.297411389,103.7811197,Lim Seng Tjoe Bldg (LT 27)
18309,1.297520117,103.781342,Blk S17
18311,1.297438148,103.7779213,Blk S12
18319,1.297526389,103.7781311,Opp University Hall
18321,1.298793333,103.7756192,Opp University Health Ctr
18329,1.298924444,103.7761142,University Health Ctr
18331,1.29370722,103.7848914,Kent Ridge Stn
18339,1.293793029,103.7850791,Opp Kent Ridge Stn
19011,1.307816389,103.7842367,Blk 19A CP
19019,1.308073056,103.7847592,Opp Blk 19A CP
19021,1.309526411,103.7813719,SP SMA
19029,1.30956092,103.7820188,Opp SP SMA
19031,1.311234167,103.7783836,Dover Stn
19039,1.31168308,103.7787018,Dover Stn
19041,1.312359722,103.7755275,Opp Sch Of Science & Tech
19049,1.312663022,103.7747922,Sch Of Science & Tech
19051,1.308964444,103.7739233,Opp Transview Golf Club
19059,1.308945,103.7727225,Transview Golf Club
19061,1.307524427,103.7778212,Ayer Rajah Telecoms
19069,1.307787583,103.7767117,Opp Ayer Rajah Telecoms
19071,1.305155,103.7810831,Opp United World College
19079,1.306103056,103.7801297,Bef Dover Ct Prep Sch
19081,1.302569722,103.7828247,Opp ACS Boarding Sch
19089,1.303703056,103.7818439,United World College
